id;bank_account_no;bank_account_name;bank_branch;status;currency_id;bank_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Monitored Rustic Cotton Sausages;Saint Martin;dot-com;C;80696;76085;2019-12-03;2019-12-03T20:54:14;54657;2019-12-04;2019-12-03T23:38:28;45859
2;Florida;Manors cyan Handcrafted Fresh Keyboard;Consultant Swaziland enhance;R;95142;49823;2019-12-03;2019-12-04T00:16:06;71172;2019-12-03;2019-12-03T10:28:53;52253
3;black Lights;Savings Account Intelligent Rubber Chair Supervisor;synthesizing;N;52145;95289;2019-12-03;2019-12-03T10:49:10;75731;2019-12-04;2019-12-04T06:08:54;85422
4;synthesize customer loyalty;withdrawal;back-end Infrastructure;p;903;78442;2019-12-04;2019-12-04T00:58:51;92619;2019-12-03;2019-12-04T04:32:25;80475
5;Intelligent Soft Gloves Pizza;transmitter Gorgeous;Ameliorated grow;d;39783;99008;2019-12-03;2019-12-03T11:06:45;99325;2019-12-03;2019-12-04T08:57:02;51272
6;Berkshire withdrawal Handmade;Senior;interfaces executive Auto Loan Account;I;65663;84727;2019-12-04;2019-12-03T12:22:30;19159;2019-12-03;2019-12-03T11:59:28;97437
7;Beauty;ivory Intelligent Steel Sausages Keyboard;Cedi User-friendly interfaces;a;75877;83965;2019-12-04;2019-12-04T06:34:37;35305;2019-12-03;2019-12-03T12:34:14;90375
8;programming strategize transmit;Tunnel Borders teal;Digitized empowering;T;7115;36435;2019-12-04;2019-12-04T02:56:34;94078;2019-12-03;2019-12-03T21:51:45;46000
9;Licensed transmitting;parallelism;input world-class hacking;R;28247;29002;2019-12-03;2019-12-03T11:41:04;3757;2019-12-04;2019-12-04T06:57:35;54670
10;Afghanistan Massachusetts Sleek Plastic Car;Manager Diverse access;communities;M;22429;73172;2019-12-03;2019-12-03T18:39:12;74189;2019-12-04;2019-12-03T13:39:59;75906
