id;email;password;mobile_phone;member_since;member_status;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Maurice_Bauch32@gmail.com;red firewall open-source;deposit Sausages;2019-10-27;39757;2019-10-27;2019-10-27T19:26:22;93672;2019-10-27;2019-10-28T04:33:53;67569
2;Murray92@yahoo.com;SMS Enhanced;Bacon Designer;2019-10-27;52965;2019-10-28;2019-10-28T02:03:39;99625;2019-10-28;2019-10-27T08:41:44;89721
3;Stephan.Tillman@yahoo.com;even-keeled Saint Helena Pound;Internal AI optical;2019-10-27;85092;2019-10-28;2019-10-27T09:24:37;16162;2019-10-27;2019-10-27T10:18:01;66898
4;Kris.Altenwerth@yahoo.com;invoice Home Gloves;Buckinghamshire Ports;2019-10-27;22426;2019-10-28;2019-10-27T14:46:23;1807;2019-10-28;2019-10-27T20:00:43;32539
5;Nayeli_Hickle@gmail.com;alarm local area network Benin;turn-key dedicated;2019-10-28;58987;2019-10-27;2019-10-27T08:22:20;39309;2019-10-27;2019-10-27T10:27:23;90609
6;Hosea_Schimmel@yahoo.com;North Dakota Cambridgeshire;Re-contextualized;2019-10-27;28077;2019-10-27;2019-10-28T07:16:54;76855;2019-10-27;2019-10-28T06:49:08;17711
7;Tristian.Koss91@hotmail.com;out-of-the-box Automotive Tactics;Venezuela Wisconsin;2019-10-27;85300;2019-10-28;2019-10-28T00:47:55;30569;2019-10-27;2019-10-28T03:17:00;85113
8;Emile37@gmail.com;matrix calculating;Arkansas Intelligent Credit Card Account;2019-10-27;35864;2019-10-28;2019-10-28T01:45:55;51832;2019-10-28;2019-10-27T10:48:31;32255
9;Rosetta70@hotmail.com;real-time discrete redundant;Synergistic Personal Loan Account Sleek;2019-10-28;50151;2019-10-27;2019-10-27T12:42:23;19427;2019-10-27;2019-10-28T06:09:46;70196
10;Pete_Bechtelar33@yahoo.com;incubate;interfaces;2019-10-27;3594;2019-10-27;2019-10-27T20:41:28;15504;2019-10-27;2019-10-27T08:18:05;28654
